,Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude,cluster
9708,Starbucks,22145-218090,Kluang Mall,Licensed,"Jln Rambutan, G-10, Ground Floor","Bandar Kluang, Kluang",1,MY,86000,,GMT+08:00 Asia/Kuala_Lumpur,103.32,2.04,3
9709,Starbucks,22152-218094,Petronas Bayu Senibong,Licensed,"Taman Bayu Senibong, Mukim Plentong, PTD 148135",Bayu Senibong,1,MY,81750,,GMT+08:00 Asia/Kuala_Lumpur,103.8,1.49,3
9710,Starbucks,18927-184364,Seri Alam,Licensed,"8 Jalan Suria, Bandar Seri Alam",Johor Bahru,1,MY,81750,,GMT+08:00 Asia/Kuala_Lumpur,103.87,1.5,3
9711,Starbucks,1923-137105,The Zone,Licensed,"88 Jalan Ibrahim Sutan, Stulang Laut, Level 1",Johor Bahru,1,MY,80300,07-2241702,GMT+08:00 Asia/Kuala_Lumpur,103.78,1.47,3
9712,Starbucks,50001-272225,Senai Airport,Licensed,"Lot S11, Aero Mall, Senai International Airport",Johor Bahru,1,MY,81250,,GMT+08:00 Asia/Kuala_Lumpur,103.67,1.64,3
9713,Starbucks,28255-250643,Seri Austin DT,Joint Venture,"Jalan Seri Austin 1, Taman Seri Austin",Johor Bahru,1,MY,81100,,GMT+08:00 Asia/Kuala_Lumpur,103.75,1.58,3
9714,Starbucks,33904-13360,Johor Bahru City Square,Licensed,"No 106 & 108, Jalan Wong Ah Fook, Lot J1-06, Level 1",Johor Bahru,1,MY,80000,07-2760267,GMT+08:00 Asia/Kuala_Lumpur,103.76,1.46,3
9715,Starbucks,25311-240185,Danga Bay,Licensed,"Sales Gallery, Lot PTB 22056, Danga Bay, Jalan Skudai",Johor Bahru,1,MY,80200,,GMT+08:00 Asia/Kuala_Lumpur,103.71,1.49,3
9716,Starbucks,21233-210285,Tesco Tebrau,Licensed,"No.1, Persiaran Desa Tebrau, Lot No.G7 & G8, Ground Floor",Johor Bahru,1,MY,81100,,GMT+08:00 Asia/Kuala_Lumpur,103.8,1.55,3
9717,Starbucks,30897-102820,AEON Tebrau,Licensed,"No.1 Jl Desa Tebrau, Taman Desa Tebrau, Lot G17",Johor Bahru,1,MY,81100,07-3556049,GMT+08:00 Asia/Kuala_Lumpur,103.8,1.55,3
9718,Starbucks,1915-139106,Bukit Indah,Licensed,"No. 8, Jalan Indah 15/2, Bukit Indah, Lot G08, Ground Floor",Johor Bahru,1,MY,81200,07-2370408,GMT+08:00 Asia/Kuala_Lumpur,103.66,1.48,3
9719,Starbucks,15577-163164,JB Sentral,Licensed,"Jalan Jim Quee, Lot No. 1&2, 3rd Floor, JB Sentral",Johor Bahru,1,MY,80300,07-2212453,GMT+08:00 Asia/Kuala_Lumpur,103.76,1.46,3
9720,Starbucks,20876-208707,AEON Kulaijaya,Licensed,"Persiaran Indahpura Utama, Bdr Indahpura, G68, Ground Floor",Johor Bharu,1,MY,81000,,GMT+08:00 Asia/Kuala_Lumpur,103.62,1.64,3
9721,Starbucks,47501-258464,IOI Mall Kulai DT,Licensed,"Lot No. G-OSE 3/5/6, GF, IOI Mall Kulai, Lebuh Putra Utama, Bandar Putra",Kulai Johor,1,MY,81000,,GMT+08:00 Asia/Kuala_Lumpur,103.6,1.68,3
9722,Starbucks,16340-164364,Johor Premium Outlets,Licensed,"Jalan Premium Outlets, Indahputra, Lot 500",Kulaijaya,1,MY,81000,07-5909143,GMT+08:00 Asia/Kuala_Lumpur,103.75,1.46,3
9723,Starbucks,28251-250642,Muar Bakri,Joint Venture,"Lot No. PTB 16019, Ground Floor, Jalan Bakri, Muar Johor",Muar,1,MY,84000,,GMT+08:00 Asia/Kuala_Lumpur,102.6,2.05,3
9724,Starbucks,24971-239310,Shell Bandar Seri Alam,Licensed,"Lot S1, Ground Floor, PTD 220529, Persiaran Seri Alam, Bandar Seri Alam",MUKIM PLENTONG,1,MY,81750,,GMT+08:00 Asia/Kuala_Lumpur,103.88,1.51,3
9725,Starbucks,19396-201906,Puteri Harbour,Licensed,"Persiaran Puteri Selatan, Puteri Harbour, Lot 1D, Ground Floor",Nusajaya,1,MY,79000,,GMT+08:00 Asia/Kuala_Lumpur,103.66,1.42,3
9726,Starbucks,49288-267945,Segamat Sri Utama,Licensed,"Ground & 1st Floor, No. 25, Jalan Utama, 3/2",Segamat Johor,1,MY,85000,,GMT+08:00 Asia/Kuala_Lumpur,102.82,2.51,3
9727,Starbucks,25161-238184,Taman Molek,Licensed,"Jalan Molek 3/20, Taman Molek, 21-G & 21-1",Taman Molek,1,MY,81100,,GMT+08:00 Asia/Kuala_Lumpur,103.79,1.53,3
9728,Starbucks,25680-212065,Aman Central,Licensed,"Lot G35 & G80, Aman Central Mall, Alor Setar Town, Kedah Darul Aman",Alor Setar,2,MY,,04731 3770,GMT+08:00 Asia/Kuala_Lumpur,100.37,6.13,5
9729,Starbucks,26445-240449,Alor Setar DT,Licensed,"Jalan Alor Mengkudu, PT13875,13876,13877,78 & part of PT6189",Alor Setar,2,MY,5400,04733 8094,GMT+08:00 Asia/Kuala_Lumpur,100.38,6.1,5
9730,Starbucks,17250-180648,Cenang Mall,Licensed,"Lot 2605 Jalan Pantai Cenang, Mukim Keda, Lot GF1a, GF1b & GF1c CenangMallLangkawi",Langkawi,2,MY,7000,04-9551540,GMT+08:00 Asia/Kuala_Lumpur,99.73,6.29,5
9731,Starbucks,31809-117007,Langkawi International Airport,Licensed,"Langkawi International Airport, Lot No. C2, Public Concourse",Langkawi,2,MY,7000,04-9557780,GMT+08:00 Asia/Kuala_Lumpur,99.73,6.34,5
9732,Starbucks,31076-104740,Langkawi Jetty Point,Licensed,"Jetty Kuah, Lot 15 & 16, Zone 2",Langkawi,2,MY,7000,04-9665309,GMT+08:00 Asia/Kuala_Lumpur,99.85,6.31,5
9733,Starbucks,32071-123025,Lagenda Village Mall,Licensed,"Jalan Lagenda 1, Lagenda Heights, Lot G-9, G-15, G-16, Ground Floor",Sungai Petani,2,MY,8000,04-4229645,GMT+08:00 Asia/Kuala_Lumpur,100.5,5.66,5
9734,Starbucks,16226-169665,Jusco Bandaraya Melaka,Licensed,"No. 2, Jalan Lagenda, Taman 1-Lagenda, Lot G89 & G90",Melaka,4,MY,75400,06-2818769,GMT+08:00 Asia/Kuala_Lumpur,102.25,2.21,1
9735,Starbucks,31462-107895,Dataran Pahlawan,Licensed,"Jalan Merdeka, Bandar Hilir, Lot BN-017, BN-030 & BN-031",Melaka,4,MY,75000,06-2815630,GMT+08:00 Asia/Kuala_Lumpur,102.25,2.19,1
9736,Starbucks,33958-98092,Mahkota Parade,Licensed,"No. 1, Jalan Merdeka, Lot No. G17/EG2",Melaka,4,MY,75000,06282 0721,GMT+08:00 Asia/Kuala_Lumpur,102.25,2.19,1
9737,Starbucks,24106-235604,Kota Laksamana DT,Licensed,"Plot B, Lot 2065, Pekan Klebang Seksyen IV",Melaka,4,MY,,,GMT+08:00 Asia/Kuala_Lumpur,102.22,2.21,1
9738,Starbucks,15524-193325,Melaka Raya,Licensed,"No. 161 Jalan Merdeka, Taman Melaka Raya",Melaka,4,MY,75000,06-2814628,GMT+08:00 Asia/Kuala_Lumpur,102.26,2.19,1
9739,Starbucks,22462-221127,The Shore,Licensed,"Jalan Persiaran Bunga Raya, GF-10",Melaka Tengah,4,MY,75300,,GMT+08:00 Asia/Kuala_Lumpur,102.25,2.2,1
9740,Starbucks,19790-202844,Port Dickson,Licensed,"PD Waterfront, HS(D) 8376 PT 74, Port of HS(D) 9376 PT 74",Port Dickson,5,MY,71000,,GMT+08:00 Asia/Kuala_Lumpur,101.79,2.52,1
9741,Starbucks,30702-101569,Jusco Seremban 2,Licensed,"No. 112, Persiaran S2 B1, Seremban 2, Lot G49 & 50",Seremban,5,MY,70300,06-6015526,GMT+08:00 Asia/Kuala_Lumpur,101.91,2.7,1
9742,Starbucks,32541-135925,Cameron Highlands,Licensed,"Lot 22 & 23, Jalan Besar, Tanah Rata",Cameron Highlands,6,MY,39007,05-4915648,GMT+08:00 Asia/Kuala_Lumpur,101.38,4.47,5
9743,Starbucks,33917-39460,Genting Highlands,Licensed,"First World Hotel, Level T1, Lot F/L 1.4",Genting Highland,6,MY,69000,03-61013754,GMT+08:00 Asia/Kuala_Lumpur,101.79,3.42,1
9744,Starbucks,22609-222727,Petron Genting Permai,Licensed,"Jalan Permai 2, Genting Permai Avenue, Lot 21078",Genting Highlands,6,MY,69000,,GMT+08:00 Asia/Kuala_Lumpur,101.77,3.39,1
9745,Starbucks,32480-225566,East Coast Mall (Closed),Licensed,"East Coast Mall, No. GF-06, Alfresco Ground Floor",Kuantan,6,MY,25200,09-5609209,GMT+08:00 Asia/Kuala_Lumpur,103.33,3.82,1
9746,Starbucks,22610-222730,Starbucks Teluk Cempedak,Licensed,"Jalan Tengku Abu Bakar, No 1&2, Pusat Rekreasi, Teluk Cempedak",Kuantan,6,MY,25050,,GMT+08:00 Asia/Kuala_Lumpur,103.37,3.81,1
9747,Starbucks,33949-95052,Megamall Kuantan,Licensed,"Jalan Tun Ismail, Sri Dagangan, G-15, Ground floor",Kuantan,6,MY,25000,09-5134489,GMT+08:00 Asia/Kuala_Lumpur,103.33,3.81,1
9748,Starbucks,50376-274504,Sky Avenue,Licensed,"Lot T2B-31, Sky Avenue, Genting Highlands",Pahang,6,MY,69000,,GMT+08:00 Asia/Kuala_Lumpur,101.79,3.42,1
9749,Starbucks,17884-184365,Tanjong Tokong D/T,Licensed,"4-G, Jalan Pantai Molek, Tanjung Tokong",Penang,6,MY,10470,04-8906008,GMT+08:00 Asia/Kuala_Lumpur,100.31,5.45,5
9750,Starbucks,31408-107042,Queensbay Mall,Licensed,"100, Persiaran Bayan Indah, GF-36, Ground Floor",Bayan Lepas,7,MY,11900,04-6411645,GMT+08:00 Asia/Kuala_Lumpur,100.31,5.33,5
9751,Starbucks,31428-196124,Borders Queensbay Mall,Licensed,"100, Persiaran Bayan Indah, Lot 1F-91 & 92 QueensBay Mall",Bayan Lepas,7,MY,11900,04-6411148,GMT+08:00 Asia/Kuala_Lumpur,100.31,5.34,5
9752,Starbucks,24509-238149,AEON - Bukit Mertajam,Licensed,Lot G08 & G08A,Bukit Mertajam,7,MY,14000,,GMT+08:00 Asia/Kuala_Lumpur,100.44,5.37,5
9753,Starbucks,25802-242470,Icon City DT,Licensed,Bukit Tengah,Bukit Mertajam,7,MY,14000,,GMT+08:00 Asia/Kuala_Lumpur,100.43,5.34,5
9754,Starbucks,26885-245712,Raja Uda DT,Licensed,"Butterworth Business City Centre, Jalan Raja Uda",Butterworth,7,MY,12300,,GMT+08:00 Asia/Kuala_Lumpur,100.38,5.43,5
9755,Starbucks,33946-94857,Genting 3,Licensed,"Genting Highlands Hotel, Lot H/LG 6.00, Lower Ground Floor",Genting Highland,7,MY,69000,03-61011858,GMT+08:00 Asia/Kuala_Lumpur,101.79,3.42,1
9756,Starbucks,22745-224006,Sri Pinang DT,Licensed,"Lebuh Sungai Pinang, L1-1, L1-2, L1-3, L2-1",Georgetown,7,MY,11600,,GMT+08:00 Asia/Kuala_Lumpur,100.33,5.4,5
9757,Starbucks,23030-227024,Burmah Road,Licensed,"Jalan Burmah, 403-A",Georgetown,7,MY,10350,,GMT+08:00 Asia/Kuala_Lumpur,100.32,5.43,5
9758,Starbucks,33919-28667,Prangin Mall,Licensed,"Jalan Dr  Lim Chwee Leong, No. 33-G-1A",Komtar,7,MY,10100,04-2611858,GMT+08:00 Asia/Kuala_Lumpur,101.69,3.25,1
9759,Starbucks,33910-247010,Mansion One,Licensed,"Ground Floor, Mansion 1, Jalan Sultan Ahmad Shah",Penang,7,MY,10050,,GMT+08:00 Asia/Kuala_Lumpur,100.33,5.42,5
9760,Starbucks,15049-157222,Straits Quay,Licensed,"Jalan Seri Tanjung Pinang Lot 3A-G-15, Unit No 3A-G-15, Block A, Ground Floor",Penang,7,MY,10470,04-8901076,GMT+08:00 Asia/Kuala_Lumpur,100.31,5.46,5
9761,Starbucks,32115-124324,New World Park,Licensed,"No. 102, Jalan Burma, Lot K-1, Ground Floor",Penang,7,MY,10050,04-2274284,GMT+08:00 Asia/Kuala_Lumpur,100.33,5.42,5
9762,Starbucks,12683-155244,1st Avenue,Licensed,"182, Jalan Magazine, Lot G-09 & G-10, Ground Floor",Penang,7,MY,10300,04-2633202,GMT+08:00 Asia/Kuala_Lumpur,100.33,5.41,5
9763,Starbucks,30674-100081,E- Gate Penang,Licensed,"Lebuh Tengku Kudin 2, Gelugor, Lot 1-01-17",Penang,7,MY,11700,04-6597502,GMT+08:00 Asia/Kuala_Lumpur,100.32,5.38,5
9764,Starbucks,20851-208705,Gurney Paragon,Licensed,"G-30, Gurney Paragon, Persiaran Gurney",Penang,7,MY,10250,,GMT+08:00 Asia/Kuala_Lumpur,100.31,5.43,5
9765,Starbucks,33937-93418,Gurney Plaza,Licensed,"Plaza Gurney, Persiaran Gurney, Unit 170-G-39",Penang,7,MY,10250,04-2268858,GMT+08:00 Asia/Kuala_Lumpur,100.31,5.44,5
9766,Starbucks,48204-251331,Design Village,Licensed,"esLot G30,733 Jalan Cassia Barat 2, 14110 Bandar Cassia",Penang,7,MY,0,,GMT+08:00 Asia/Kuala_Lumpur,100.29,5.4,5
9767,Starbucks,49680-270768,Sunrise Tower,Joint Venture,"Sunrise Tower, 190-192 Persiaran Gurney",Penang,7,MY,10250,,GMT+08:00 Asia/Kuala_Lumpur,100.31,5.44,5
9768,Starbucks,31797-114990,Sunway Carnival,Licensed,"3068, Jalan Todak Pusat bandar Seberang, UG-27, Upper Ground Floor",Penang,7,MY,13700,04-3982885,GMT+08:00 Asia/Kuala_Lumpur,100.4,5.4,5
9769,Starbucks,23201-228504,Batu Ferringhi,Licensed,"69, Jalan Batu Ferringhi",Penang,7,MY,11000,,GMT+08:00 Asia/Kuala_Lumpur,100.25,5.47,5
9770,Starbucks,18368-190504,Penang International Airport,Licensed,"Domestic Airside Penang International, Airport Lot L2A FB08. Bayan Lepas",Penang,7,MY,11900,04-6446818,GMT+08:00 Asia/Kuala_Lumpur,100.27,5.29,5
9771,Starbucks,31274-105907,Juru Auto-City,Licensed,"Highway Auto-City Prai Industrial Estate, 1821-G1",Perai,7,MY,13600,04-5020362,GMT+08:00 Asia/Kuala_Lumpur,100.43,5.34,5
9772,Starbucks,16720-174806,Jusco Ipoh Station 18,Licensed,"No. 2, Susuran Stesen 18, Station 18, Lot G66, Ground Floor",Ipoh,8,MY,31650,05-3217843,GMT+08:00 Asia/Kuala_Lumpur,101.09,4.6,5
9773,Starbucks,27915-249188,AEON Klebang,Licensed,"Lot G.05, Ground Floor, Aeon Mall Ipoh Klebang",Ipoh,8,MY,30010,05291 4366,GMT+08:00 Asia/Kuala_Lumpur,101.1,4.64,5
9774,Starbucks,31111-105258,Ipoh Parade,Licensed,"105, Jalan Sultan Abdul Jalil, Lot G25, Ground Floor",Ipoh,8,MY,30450,05-2412180,GMT+08:00 Asia/Kuala_Lumpur,101.09,4.6,5
9775,Starbucks,20065-147988,Sunway Tambun DT,Licensed,"Part of Lost HS(D) KA 72917, Mukim Hulu, Kinta, Daerah Kinta",Ipoh,8,MY,31150,,GMT+08:00 Asia/Kuala_Lumpur,101.15,4.63,5
9776,Starbucks,21353-212064,Medan Gopeng,Licensed,"Jalan Raja Dr. Nazrin Shah, Jalan Gopeng, Kampung Rapat",Ipoh,8,MY,31350,,GMT+08:00 Asia/Kuala_Lumpur,101.11,4.57,5
9777,Starbucks,23238-228624,Kampar Tin Village,Licensed,"Lot No. 5 & 6, Ground Floor, Tin Village Mall",Kampar,8,MY,31900,,GMT+08:00 Asia/Kuala_Lumpur,101.15,4.33,5
9778,Starbucks,18283-189684,AEON Seri Manjung,Licensed,"Pusat Perniagaan Manjung Point 3, Lot G65",Seri Manjung,8,MY,32040,05-6870143,GMT+08:00 Asia/Kuala_Lumpur,100.67,4.22,5
9779,Starbucks,32703-135924,Taiping Sentral,Licensed,"No. 36, Jalan Istana Larut, Lot G-09 & G-10",Taiping,8,MY,34000,05-8054179,GMT+08:00 Asia/Kuala_Lumpur,100.74,4.86,5
9780,Starbucks,22627-222729,AEON Taiping,Licensed,"Lot G08, Ground Floor, AEON Mall Taiping, Jalan Kamunting",Taiping,8,MY,34600,,GMT+08:00 Asia/Kuala_Lumpur,100.73,4.87,5
9781,Starbucks,15051-157221,Ampang Point,Licensed,"Jalan Mamanda 3, Lot G20A, Ground Floor",Ampang,10,MY,68000,03-42653828,GMT+08:00 Asia/Kuala_Lumpur,101.75,3.16,1
9782,Starbucks,22143-218093,Petronas Ampang Jaya,Licensed,"Tmn Dato Ahmad Razali, Phase 1, Grd Floor",Ampang,10,MY,68000,,GMT+08:00 Asia/Kuala_Lumpur,101.75,3.16,1
9783,Starbucks,17454-177446,Prima 5 D/T,Licensed,"Block  3505, Jalan Teknokrat 5, Prima 5C",Cyberjaya,10,MY,63000,03-83189395,GMT+08:00 Asia/Kuala_Lumpur,101.66,2.92,1
9784,Starbucks,47836-260028,D Pulze,Licensed,"G 28, D PULZE Shopping Centre,, Lingkaran Cyber Point Timur, Cyber 12",Cyberjaya,10,MY,63000,,GMT+08:00 Asia/Kuala_Lumpur,101.65,2.92,1
9785,Starbucks,17444-158465,Shaftsbury,Licensed,"Cyber 6, Persiaran Multimedia, Lot 2350",Cyberjaya,10,MY,63000,03-83223973,GMT+08:00 Asia/Kuala_Lumpur,101.65,2.9,1
